source_id,paper_title,object_type,object_name,short_claim_summary,AASC_family,AASC_subfamily,kernel_role,closure_role,gate_role,impossibility_role,version_preference_status,term
ERK20260527-New_erk_files_May_C3E3B7-LEM-001,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Lemma,Envelope necessity,"A candidate construction that cannot preserve standing under identity-preserving redescription, cannot carry transport-complete witnesses across the declared regime interfaces, cannot support non-degenerate reuse of construction records, or requires post-hoc repair is not an alternative occupant of BAASC . It is a collapse of bookkeeping comparability, not...",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,Kernel
ERK20260527-New_erk_files_May_C3E3B7-THM-004,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Theorem,Kernel necessity as a derived structural constraint,"For every minimal nondegenerate compositional-evaluation system, the kernel obligations of admissibility are mathematically",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,Kernel
ERK20260527-New_erk_files_May_C3E3B7-COR-002,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Corollary,Kernel non-optionality,"A denial of the kernel is not a same-domain technical alternative. It is a denial that the system under discussion supports non-degenerate reusable statement-bearing evaluation. Such a denial may define a generator, notation, simulation, or proposal space, but it does not define a comparable admissible bookkeeping occupant.",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,Kernel
ERK20260527-New_erk_files_May_AF0C6B-DEF-001,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,Definition,ixes an audit object or status rule,"Definition Fixes an audit object or status rule. Claim, target, carrier, freedom ledger, skin, report object, blocker set. Protocol theorem Derives a status consequence from the Freedom exhaustion, laundering UEAP audit objects. exclusion, calibration-only, boundary declaration, report preservation, unique status assignment. Kernel theorem Supplies the...",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,UEAP
ERK20260527-New_erk_files_May_AF0C6B-PRI-001,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,Principle,Counterexample burden,"A counterexample to UEAP must exhibit a claim whose strongest defensible report status changes while target, carrier, semantic content, representation class, ancestry, domain, evidence network, report/use profile, requested status class, admissible alternatives, laundering status, and blocker set are all held fixed. A useful process that changes one of...",AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,UEAP
ERK20260527-New_erk_files_May_AF0C6B-REM-002,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output,Remark,Why this is the central spine,"The observation-frame theorem is the bridge from protocol usefulness to protocol completeness. Without it, UEAP could be read as a disciplined checklist. With it, the checklist becomes the operational interface of a coordinate-exhaustion result: all status-relevant failures must enter through the frame coordinates and therefore can be registered, blocked,...",AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,UEAP
ERK20260527-New_erk_files_May_2490B6-PRO-012,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Proposition,Template character of the fixed-domain closure argument,"The proofs of Theorems 32.4, 32.7, and 33.1 use only the following data: 1. a two-locus bridge exhausting same-scope physically relevant variation by classification content and lawful continuation structure; 2. exclusion of a second same-scope classifier or selector; 3. prohibition of same-scope reset of an earlier excluded distinction; and 4. exclusion of...",AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,Claim Standing
ERK20260527-New_erk_files_May_2490B6-THM-019,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Theorem,Collapse classification under AER-3,"Let collapse dynamics depend on stochastic data λ. Assume that, for fixed xt ∈ Sphys , varying λ changes some outcome-relevant observable or reduced-state successor. Then, relative to AER, one of the following readings is forced:",AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,Claim Standing
ERK20260527-New_erk_files_May_2490B6-PRO-016,"Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure",Proposition,Conditional summary for unitary multiplicity under AER,"Let a unitaryonly framework exhibit multiplicity whose predictive, credence, or self-location content is mediated by branch extraction data σ, by a weighting rule W (ρt ; σ), or by an invariant measure on the reduced space. Then, relative to AER and within the routes analyzed here, singular outcome-relevant continuation is available only if either:",AI / epistemic-agent / governance layer,"AI claim standing, success-vs-truth, validator, agent instantiation, liability","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,Preferred hardened version,Claim Standing
ERK20260527-New_erk_files_May_4C9E73-REM-006,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Remark,Undefinedness is not a third truth value,Undefinedness is not a third truth value. It is non-membership in the evaluated fragment (Definition 6.1). Source: Clausura; ATS v10.,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,ATS
ERK20260527-New_erk_files_May_4C9E73-REM-009,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Remark,The axioms below are the explicit premises extracted from the,"The axioms below are the explicit premises extracted from the three sources. Where ATS v10 treats a commitment as an imported invariant, we keep it at full strength as an explicit axiom rather than weakening it.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,ATS
ERK20260527-New_erk_files_May_4C9E73-REM-010,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",Remark,"Detectability is derived, not assumed","ATS v10 highlights intrinsic detectability as the root enforcement-level premise. In this composite we do not take detectability as an additional axiom: once standing is fixed as admissible-history indistinguishability (Definitions 3.1-3.3), intrinsic detectability follows as (i) a separation theorem of the canonical quotient (Theorem 3.1), (ii) an explicit...",Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,ATS
ERK20260527-New_erk_files_May_C3E3B7-DEF-017,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Definition,AMetric Boundary for admissible bookkeeping,"The AMetric Boundary is the interface between pre-admissible construction activity and admissible standing-bearing construction. Before the boundary is crossed, there is no licensed metric, ordering, typicality measure, comparison class, selector, or identity carrier with standing authority. Crossing the boundary requires a standing quotient, invariant...",AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,AMetric
ERK20260527-New_erk_files_May_C3E3B7-THM-011,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Theorem,AMetric Boundary forcing,"Every alleged alternative bookkeeping construction faces the following dichotomy. Either it does not cross the AMetric Boundary, in which case it is not a comparable standing-bearing occupant; or it crosses the boundary by supplying identity fixation, witness invariance, transport completeness, continuation stability, and repair exclusion, in which case it...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,AMetric
ERK20260527-New_erk_files_May_C3E3B7-DEF-020,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,Definition,Admissibly distinct construction trajectory,"A construction trajectory is a finite sequence of construction records, redescriptions, transports, quotient reductions, and witness extractions leading to an occupant. Two trajectories are admissibly distinct only if, after crossing the AMetric Boundary, they differ in standing quotient, invariant witness ledger, transport/history structure, role typing,...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,AMetric
ERK20260527-New_erk_files_May_311F0C-THM-009,Boundary-Trace Fixation of Continuation Loci under AASC A Role-Anchor Theorem for Fixed-Domain Persistence,Theorem,No post-selection repair,"A boundary trace introduced, changed, or reinterpreted after role-anchor failure cannot repair standing for the same evaluated act:",Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No Post-Selection
ERK20260527-New_erk_files_May_045695-COR-006,Boundary-Trace Fixation under Admissibility Forced Environmental Coupling as the Final Role-Anchor Asymmetry,Corollary,No post-selection environmental repair,"If no admissible boundary trace fixes l at the construction time of the evaluated role-assignment act, then later success, Bayesian updating, posterior improvement, model refinement, downstream utility, calibration, future data, or reinterpretation cannot retroactively create standing for that same act. Any such update constitutes a new construction context...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No Post-Selection
ERK20260527-New_erk_files_May_D2FE05-COR-002,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",Corollary,No post-selection boundary repair,A boundary trace may fix a role only if it is declared before role use. A trace introduced after a failed or ambiguous selection is either an explicit scope reset or an inadmissible repair.,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No Post-Selection
ERK20260527-New_erk_files_May_FBEDF2-REM-005,Admissible Construction and the Non-Instantiability of Gödel Architectures,Remark,Seminar and blackboard practice,"Seminar sketches, blackboard arguments, and exploratory proof attempts may fall inside the present target when they are construction-governed under admissibility-invariant use. What is excluded is not provisionality as such, but silent redescription, role-shift, and repair-by-reinterpretation.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,Silent Redescription
