source_id,paper_title,object_type,object_name,short_claim_summary,AASC_family,AASC_subfamily,kernel_role,closure_role,gate_role,impossibility_role,version_preference_status,term
ERK20260527-New_erk_files_May_35B594-COR-007,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Corollary,No silent redescription,Any purported continuation that changes admissibilityrelevant status while claiming same scope is illicit.,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,Silent Redescription
ERK20260527-New_erk_files_May_9ECDFF-LEM-011,Rigidity of the Black-Scholes Valuation Operator Representative-Invariant Local Valuation under Fixed One-Factor Market Data,Lemma,No silent redescription,"A change of variables, measure, numeraire, hedge convention, or calibration convention is an admissible redescription only if it preserves the claim quotient and all fixed-class data. If it changes the state, adds a selector, changes the continuation law, or changes the numeraire, it is a scope change.",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,Silent Redescription
ERK20260527-New_erk_files_May_DCCC53-REM-001,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Remark,The answer is not chosen,"The answer is not chosen from a candidate list. The answer is the unique certificate-compatible occupation of the forced target role set by the live target-relative residue. If the target needs one occupant and two eligible rivals survive, the result is underdetermined. If the target needs two complementary occupants and there is a unique jointly compatible...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,Preferred hardened version,Role-Occupancy
ERK20260527-New_erk_files_May_DCCC53-DEF-001,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Definition,Fixed certificate,A fixed certificate is the declared admissibility-bearing comparison environment,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,Preferred hardened version,Role-Occupancy
ERK20260527-New_erk_files_May_DCCC53-DEF-002,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,Definition,Candidate response class,"A candidate response class is a possible occupant, branch, transport, correction, sector, readout, or response generated by C. The admissible candidate set is Radm (C) = {Ri : Ri satisfies the declared admissibility tests under C}. Candidate status is not realized status.",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,Preferred hardened version,Role-Occupancy
ERK20260527-New_erk_files_May_FBEDF2-THM-049,Admissible Construction and the Non-Instantiability of Gödel Architectures,Theorem,No generators,There is no internal operation T and no act a ∈ XD • with standing-failure such that T (a) is standing-positive as a consequence of a alone and without fresh evaluation on D.,Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No generators
ERK20260527-New_erk_files_May_3D011A-THM-043,"Forty-Two Exhaustion, Closure, and Downstream Consequence",Theorem,No generators,There is no internal operation T and no evaluated act a ∈ XD • with StandD (a) = 0 such that StandD (T (a)) = 1 as a consequence of a alone and without fresh evaluation on D.,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,Preferred hardened version,No generators
ERK20260527-New_erk_files_May_35B594-COR-011,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",Corollary,No generators,Standing cannot be generated from non-standing by any non-fresh continuation.,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No generators
ERK20260527-New_erk_files_May_41605D-THM-029,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,Theorem,Admissibility constraint on No carriers (numeric or structural,). Assume MIAX and Theorem 5.26. No carrier attempt QD can serve as a primitive authorizer of standing except by coinciding extensionally with the unique gate predicate guaranteed by Theorem 6.12. Any admissible use of QD must be downstream bookkeeping inside an already gated envelope and has no authority over eligibility. Construction witness. Let QD be a...,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No carriers
ERK20260527-New_erk_files_May_8B37FD-COR-004,"The Bivalence Theorem for Non-Degenerate Construction Standing Conservation, Governance Necessity, and Local Closure",Corollary,No Carriers,"No scalar, probabilistic, structural, explanatory, or semantic carrier can function as an independent same-domain primitive authorizer of standing. Any admissible use of such a quantity is downstream bookkeeping inside an already gated envelope.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,No carriers
ERK20260527-New_erk_files_May_EA512E-THM-003,Unus Solus Possibilis Est Corpus Closure and Uniqueness of the Admissible Interior,Theorem,No carriers (numeric or structural,"). Assume Axioms 1, 5, 6, and 7. Then no carrier attempt QD can serve as a primitive authorizer of standing (i.e. no QD ̸≡ GD can decide eligibility) except by coinciding extensionally with the unique gate predicate guaranteed by Lemma 4. Any admissible use of QD must be downstream bookkeeping inside an already gated envelope and must have no authority over...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,No carriers
ERK20260527-New_erk_files_May_41605D-THM-027,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,Theorem,Admissibility constraint on No repairs for an evaluated act,"Assume irreversibility. If LD (a) = 0 for an evaluated act a in D, then no internal post-processing operation on the same evaluated act yields LD (a) = 1. Any legitimate “repair” must be an identity-reset producing a new act a′ that is evaluated afresh.",AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No repairs
ERK20260527-New_erk_files_May_EA512E-THM-001,Unus Solus Possibilis Est Corpus Closure and Uniqueness of the Admissible Interior,Theorem,No repairs for an instantiated constructional unit,"Assume standing is instantiated in D. If LD (a) = 0, then no internal post-processing operation on the same construction a yields LD (a) = 1. Any admissible “repair” must produce a new constructional unit a′ that independently satisfies GD .",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No repairs
ERK20260527-New_erk_files_May_EA512E-THM-009,Unus Solus Possibilis Est Corpus Closure and Uniqueness of the Admissible Interior,Theorem,no repairs,✓,Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,No repairs
ERK20260527-New_erk_files_May_8962DE-DEF-001,"Admissible Record Construction in Physically Non-Selective Quantum Regimes Fixed-Domain Quotients, Boundary-Trace Fixation, and Constructional Determinacy Overview. This manuscript treats the measurement problem as a fixed-domain",Definition,Fixed downstream substrate,"A fixed downstream substrate for the present manuscript is a same-scope, admissibility-governed regime in which the following are already in force. 1. Admissibility is a forced governance boundary for the target class of non-degenerate, constructed object-bearing systems.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,Boundary-Trace
ERK20260527-New_erk_files_May_8962DE-REM-001,"Admissible Record Construction in Physically Non-Selective Quantum Regimes Fixed-Domain Quotients, Boundary-Trace Fixation, and Constructional Determinacy Overview. This manuscript treats the measurement problem as a fixed-domain",Remark,Provenance of the substrate,"Definition 2.1 is not a hidden premise. It is the explicit fixed-domain package proved in the companion closure papers on kernel necessity, interface forcing, trajectory closure, uniqueness, and structural singleton results; see [16-23]. The present paper uses that package as background and does not attempt to re-prove it in full. What it does add locally...",Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,Boundary-Trace
ERK20260527-New_erk_files_May_8962DE-DEF-002,"Admissible Record Construction in Physically Non-Selective Quantum Regimes Fixed-Domain Quotients, Boundary-Trace Fixation, and Constructional Determinacy Overview. This manuscript treats the measurement problem as a fixed-domain",Definition,Minimal coherence triggers,"A same-scope construction-practice satisfies the minimal coherence triggers relevant to the present paper iff it preserves fixed record-fixation under lawful identity-preserving transformation, treats admissible continuation as compositionally available candidate material, carries non-trivial constructional content, and executes at least one irreversible...",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,Preferred hardened version,Boundary-Trace
ERK20260527-New_erk_files_May_D2FE05-THM-005,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",Theorem,Standing-admissibility identity closure,No same-domain admissibility classifier genuinely distinct from Elig survives in a closed fixed-domain admissible evaluation system. Any attempted separation between admissibility and standing must instantiate at least one of the following routes:,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,Preferred hardened version,Standing-Admissibility
ERK20260527-New_erk_files_May_B2C14B-PRO-010,Constraint-Bundle Forcing under Fixed-Domain Evaluability A Governance Non-Vacuity Theorem under AASC,Proposition,Standing-admissibility identity on the positive side,"On the positive side of a fixed-domain evaluated fragment, admissibility, standing, identity stability, transport consistency, quotient identity, and fixed-domain classificatory legitimacy collapse extensionally: AdmD (x) = 1 ⇔ StandD (x) = 1 ⇔ IdD (x) = 1 ⇔ TrD (x) = 1 ⇔ QuotD (x) = 1 ⇔ ClassD (x) = 1.",Operator / formal system layer,"operator-domain, totalization, algebraic closure, formal-completability control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,Standing-Admissibility
ERK20260527-New_erk_files_May_3D011A-THM-041,"Forty-Two Exhaustion, Closure, and Downstream Consequence",Theorem,Standing-admissibility equivalence,"For every evaluated act a ∈ XD •,",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,Preferred hardened version,Standing-Admissibility
ERK20260527-New_erk_files_May_FBEDF2-DEF-001,Admissible Construction and the Non-Instantiability of Gödel Architectures,Definition,Fixed domain and same-domain threat,"A fixed domain is a regime whose identity already includes its admissibility boundary, standing-bearing reuse conditions, lawful same-scope transitions, and closure-sensitive continuation structure. These are domain-defining structure, not optional attributes layered onto an otherwise independent domain. A same-domain threat is any distinction,...",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,Gödel
ERK20260527-New_erk_files_May_FBEDF2-DEF-002,Admissible Construction and the Non-Instantiability of Gödel Architectures,Definition,Constructional behavior,"The constructional behavior of the fixed domain is the totality of all same-domain admissions, rejections, standing-bearing reuses, fixations, and legal same-domain continuations supported by that domain.",Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,Gödel
ERK20260527-New_erk_files_May_FBEDF2-DEF-003,Admissible Construction and the Non-Instantiability of Gödel Architectures,Definition,"Construction-derived classifier layer, re-entry, and governance relevance","Let A be a class of syntax-bearing acts on the fixed domain and let C be a class of code objects. A same-domain construction-derived classifier layer is a coding map ⌜·⌝ : A → C. For a predicate P ⊆ C, its re-entry to the original acts is",Constraint envelope / redescription layer,"constraint envelopes, scope, redescription, envelope non-contact, transport control",,,,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",Preferred hardened version,Gödel
